match_no,slug,team_a,team_b,Top1_a,Top2_a,Top1_b,Top2_b,Star1_a,Star2_a,Star1_b,Star2_b,Comment_a,Comment_b,Headline_a,Headline_b,Hook_a,Hook_b,WCs_a,Won_a,High_a,Avg_a,GP_a,W_a,D_a,L_a,GF_a,GFpg_a,GA_a,GApg_a,P_a,PPG_a,WCs_b,Won_b,High_b,Avg_b,GP_b,W_b,D_b,L_b,GF_b,GFpg_b,GA_b,GApg_b,P_b,PPG_b,H2H_GP_a,H2H_W_a,H2H_D_a,H2H_L_a,H2H_GF_a,H2H_GA_a,H2H_GP_b,H2H_W_b,H2H_D_b,H2H_L_b,H2H_GF_b,H2H_GA_b,venue,city,stadium,datetime,Coach_a,P1num_a,P1name_a,P2num_a,P2name_a,P3num_a,P3name_a,P4num_a,P4name_a,P5num_a,P5name_a,P6num_a,P6name_a,P7num_a,P7name_a,P8num_a,P8name_a,P9num_a,P9name_a,P10num_a,P10name_a,P11num_a,P11name_a,Coach_b,P1num_b,P1name_b,P2num_b,P2name_b,P3num_b,P3name_b,P4num_b,P4name_b,P5num_b,P5name_b,P6num_b,P6name_b,P7num_b,P7name_b,P8num_b,P8name_b,P9num_b,P9name_b,P10num_b,P10name_b,P11num_b,P11name_b,Best1_a,Best2_a,Best1_b,Best2_b
1,m001-mexico-vs-south-africa,Mexico,South Africa,Luis Hernández (4),Javier Hernández (4),Benni McCarthy (2),Shaun Bartlett (2),,Javier Hernández (4),,Benni McCarthy (2),17 World Cups · Best: Quarter-finalists · 0-1-0 vs South Africa,3 World Cups · Best: Group stage · 0-1-0 vs Mexico,17 TRIES · NEVER PAST THE QUARTERS,3 WORLD CUPS · OUT TO MAKE THEIR MARK,WHO STEPS UP?,ALL TO PLAY FOR,17,0,6.5,17.2,60,17,15,28,62,1.03,101,1.68,66,1.1,3,0,24,24,9,2,4,3,11,1.22,16,1.78,10,1.11,1,0,1,0,1,1,1,0,1,0,1,1,Estadio Azteca,Mexico City,Estadio Azteca,June 11 2026 · 19:00 CET · 13:00 EST,Javier Aguirre,13,Ochoa,3,Sánchez,5,Montes,4,Vásquez,23,Gallardo,4,Edson Álvarez,14,Chávez,22,Lozano,16,Pizarro,10,Vega,9,Giménez,Hugo Broos,16,Williams,2,Mudau,5,Mbekile,4,Modiba,3,Mobbie,8,Mokoena,6,Sithebe,18,Zwane,11,Tau,10,Mofokeng,9,Foster,Sánchez,Gallardo,Mokoena,Williams
2,m002-south-korea-vs-czech-republic,South Korea,Czech Republic,Jung-hwan Ahn (3),Ji-sung Park (3),Tomáš Rosický (2),Jan Koller (1),Heung-min Son,Heung-min Son (3),,Tomáš Rosický (2),11 World Cups · Best: Semi-finalists · 1st meeting vs Czech Republic,1 World Cups · Best: Group stage · 1st meeting vs South Korea,SEMI-FINALISTS · THE NEARLY MEN,ON THE GREATEST STAGE,SON CARRIES KOREA'S HOPES,OUT TO MAKE THEIR MARK,11,0,3.5,20.0,38,7,10,21,39,1.03,78,2.05,31,0.82,1,0,24,24,3,1,0,2,3,1.0,4,1.33,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,Estadio Akron,Zapopan,Estadio Akron,June 12 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,m003-canada-vs-bosnia-herzegovina,Canada,Bosnia & Herzegovina,Alphonso Davies (1),,Sead Kolašinac (1),Vedad Ibišević (1),,Alphonso Davies (1),,Sead Kolašinac (1),2 World Cups · Best: Group stage · 1st meeting vs Bosnia & Herzegovina,1 World Cups · Best: Group stage · 1st meeting vs Canada,2 WORLD CUPS · OUT TO MAKE THEIR MARK,ON THE GREATEST STAGE,THE BIG STAGE AWAITS,EYES ON THE FINAL SQUAD,2,0,24,24,6,0,0,6,2,0.33,12,2.0,0,0.0,1,0,24,24,3,1,0,2,4,1.33,4,1.33,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,BMO Field,Toronto,BMO Field,June 12 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,m004-usa-vs-paraguay,USA,Paraguay,Landon Donovan (5),Bert Patenaude (4),Nelson Cuevas (3),Florencio Amarilla (2),,Timothy Weah (1),,Nelson Cuevas (3),11 World Cups · Best: Semi-finalists · 1-0-0 vs Paraguay,8 World Cups · Best: Quarter-finalists · 0-0-1 vs USA,SEMI-FINALISTS · THE NEARLY MEN,QUARTER-FINALS THEIR FINEST HOUR,ALL TO PLAY FOR,THE BIG STAGE AWAITS,11,0,3.5,15.3,37,9,8,20,40,1.08,66,1.78,35,0.95,8,0,6.5,17.5,27,7,10,10,30,1.11,38,1.41,31,1.15,1,1,0,0,3,0,1,0,0,1,0,3,SoFi Stadium,Los Angeles,SoFi Stadium,June 13 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,m005-qatar-vs-switzerland,Qatar,Switzerland,Mohammed Muntari (1),,Josef Hügi (6),Xherdan Shaqiri (5),,Mohammed Muntari (1),,Xherdan Shaqiri (5),1 World Cups · Best: Group stage · 1st meeting vs Switzerland,12 World Cups · Best: Quarter-finalists · 1st meeting vs Qatar,ON THE GREATEST STAGE,12 TRIES · NEVER PAST THE QUARTERS,WHO STEPS UP?,ALL TO PLAY FOR,1,0,24,24,3,0,0,3,1,0.33,7,2.33,0,0.0,12,0,6.5,14.8,40,13,8,19,51,1.27,71,1.77,47,1.18,0,0,0,0,0,0,0,0,0,0,0,0,Levi's Stadium,Santa Clara,Levi's Stadium,June 13 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,m006-brazil-vs-morocco,Brazil,Morocco,Ronaldo (15),Pelé (12),Youssef En-Nesyri (3),Abderrazak Khairi (2),Vinicius Junior,Neymar (8),,Youssef En-Nesyri (3),22 World Cups · 5x Champions · 1-0-0 vs Morocco,6 World Cups · Best: Semi-finalists · 0-0-1 vs Brazil,5-TIME WORLD CHAMPIONS,SEMI-FINALISTS · THE NEARLY MEN,VINI JR. — THE NEW KING?,READY FOR THE STAGE,22,5,1,8.6,113,75,19,19,235,2.08,107,0.95,244,2.16,6,0,3.5,18.7,23,5,7,11,20,0.87,27,1.17,22,0.96,1,1,0,0,3,0,1,0,0,1,0,3,MetLife Stadium,New Jersey,MetLife Stadium,June 13 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,m007-haiti-vs-scotland,Haiti,Scotland,Emmanuel Sanon (2),,Joe Jordan (4),Kenny Dalglish (2),,Emmanuel Sanon (2),,Joe Jordan (4),1 World Cups · Best: Group stage · 1st meeting vs Scotland,8 World Cups · Best: Group stage · 1st meeting vs Haiti,ON THE GREATEST STAGE,8 TRIES · CHASING A FIRST KNOCKOUT,OUT TO MAKE THEIR MARK,READY FOR THE STAGE,1,0,24,24,3,0,0,3,2,0.67,14,4.67,0,0.0,8,0,24,24,23,4,7,12,25,1.09,41,1.78,19,0.83,0,0,0,0,0,0,0,0,0,0,0,0,Gillette Stadium,Foxborough,Gillette Stadium,June 14 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,m008-australia-vs-turkey,Australia,Turkey,Tim Cahill (5),Mile Jedinak (3),Suat Mamat (3),Burhan Sargun (3),,Mile Jedinak (3),Arda Güler,Suat Mamat (3),6 World Cups · Best: Round of 16 · 1st meeting vs Turkey,2 World Cups · Best: Semi-finalists · 1st meeting vs Australia,ROUND OF 16 · OUT TO GO FURTHER,SEMI-FINALISTS · THE NEARLY MEN,THE BIG STAGE AWAITS,CAN ARDA SHINE AGAIN?,6,0,12.5,20.2,20,4,4,12,17,0.85,37,1.85,16,0.8,2,0,3.5,13.8,10,5,1,4,20,2.0,17,1.7,16,1.6,0,0,0,0,0,0,0,0,0,0,0,0,BC Place,Vancouver,BC Place,June 14 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,m009-germany-vs-curacao,Germany,Curacao,Miroslav Klose (16),Gerd Müller (14),,,,Toni Kroos (3),,,20 World Cups · 4x Champions · 1st meeting vs Curacao,,4-TIME WORLD CHAMPIONS,FIRST-EVER WORLD CUP,OUT TO MAKE THEIR MARK,EYES ON THE FINAL SQUAD,20,4,1,6.1,111,68,21,22,230,2.07,126,1.14,225,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NRG Stadium,Houston,NRG Stadium,June 14 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,m010-netherlands-vs-japan,Netherlands,Japan,Johnny Rep (7),Rob Rensenbrink (6),Keisuke Honda (4),Junichi Inamoto (2),,Memphis Depay (3),,Keisuke Honda (4),11 World Cups · Best: Finalists · 1-0-0 vs Japan,7 World Cups · Best: Round of 16 · 0-0-1 vs Netherlands,RUNNERS-UP ONCE · STILL CHASING THE CROWN,ROUND OF 16 · OUT TO GO FURTHER,THE BIG STAGE AWAITS,THE BIG STAGE AWAITS,11,0,2,6.9,55,30,14,11,96,1.75,52,0.95,104,1.89,7,0,12.5,17.4,25,7,6,12,25,1.0,33,1.32,27,1.08,1,1,0,0,1,0,1,0,0,1,0,1,AT&T Stadium,Arlington,AT&T Stadium,June 14 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,m011-ivory-coast-vs-ecuador,Ivory Coast,Ecuador,Didier Drogba (2),Aruna Dindane (2),Enner Valencia (6),Agustín Delgado (3),,Didier Drogba (2),,Enner Valencia (6),3 World Cups · Best: Group stage · 1st meeting vs Ecuador,4 World Cups · Best: Round of 16 · 1st meeting vs Ivory Coast,3 WORLD CUPS · OUT TO MAKE THEIR MARK,ROUND OF 16 · OUT TO GO FURTHER,WHO STEPS UP?,ALL TO PLAY FOR,3,0,24,24,9,3,1,5,13,1.44,14,1.56,10,1.11,4,0,12.5,21.1,13,5,2,6,14,1.08,14,1.08,17,1.31,0,0,0,0,0,0,0,0,0,0,0,0,Lincoln Financial Field,Philadelphia,Lincoln Financial Field,June 15 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,m012-sweden-vs-tunisia,Sweden,Tunisia,Kennet Andersson (5),Henrik Larsson (5),Wahbi Khazri (3),Ali Kaabi (1),,Andreas Granqvist (2),,Wahbi Khazri (3),12 World Cups · Best: Finalists · 1st meeting vs Tunisia,6 World Cups · Best: Group stage · 1st meeting vs Sweden,RUNNERS-UP ONCE · STILL CHASING THE CROWN,6 WORLD CUPS · EYEING A BREAKTHROUGH,READY FOR THE STAGE,WHO STEPS UP?,12,0,2,13.0,51,19,13,19,80,1.57,73,1.43,70,1.37,6,0,24,24,18,3,5,10,14,0.78,26,1.44,14,0.78,0,0,0,0,0,0,0,0,0,0,0,0,Estadio BBVA,Guadalupe,Estadio BBVA,June 15 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,m013-spain-vs-cape-verde,Spain,Cape Verde,David Villa (9),Emilio Butragueño (5),,,,Diego Costa (3),,,16 World Cups · 1x Champions · 1st meeting vs Cape Verde,,1x CHAMPIONS · CHASING MORE GLORY,FIRST-EVER WORLD CUP,OUT TO MAKE THEIR MARK,ALL TO PLAY FOR,16,1,1,14.6,66,31,17,18,108,1.64,74,1.12,110,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mercedes-Benz Stadium,Atlanta,Mercedes-Benz Stadium,June 15 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,m014-belgium-vs-egypt,Belgium,Egypt,Marc Wilmots (5),Romelu Lukaku (5),Abdulrahman Fawzi (2),Mohamed Salah (2),,Romelu Lukaku (5),Mohamed Salah,Mohamed Salah (2),14 World Cups · Best: Semi-finalists · 1st meeting vs Egypt,3 World Cups · Best: Round of 16 · 1st meeting vs Belgium,SEMI-FINALISTS · THE NEARLY MEN,ROUND OF 16 · OUT TO GO FURTHER,WHO STEPS UP?,SALAH — THE PHARAOH RETURNS,14,0,3.5,14.9,51,21,10,20,69,1.35,74,1.45,73,1.43,3,0,12.5,20.2,7,0,2,5,5,0.71,12,1.71,2,0.29,0,0,0,0,0,0,0,0,0,0,0,0,Lumen Field,Seattle,Lumen Field,June 15 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,m015-saudi-arabia-vs-uruguay,Saudi Arabia,Uruguay,Sami Al-Jaber (3),Salem Al-Dawsari (3),Oscar Míguez (8),Luis Suárez (7),,Salem Al-Dawsari (3),,Luis Suárez (7),6 World Cups · Best: Round of 16 · 0-0-1 vs Uruguay,14 World Cups · 2x Champions · 1-0-0 vs Saudi Arabia,ROUND OF 16 · OUT TO GO FURTHER,2x CHAMPIONS · CHASING MORE GLORY,EYES ON THE FINAL SQUAD,THE BIG STAGE AWAITS,6,0,12.5,22.1,19,4,2,13,14,0.74,44,2.32,14,0.74,14,2,1,13.0,59,25,13,21,89,1.51,76,1.29,88,1.49,1,0,0,1,0,1,1,1,0,0,1,0,Hard Rock Stadium,Miami,Hard Rock Stadium,June 15 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,m016-iran-vs-new-zealand,Iran,New Zealand,Mehdi Taremi (2),Andranik Eskandarian (1),Steve Sumner (1),Steve Wooddin (1),,Mehdi Taremi (2),,Steve Sumner (1),6 World Cups · Best: Group stage · 1st meeting vs New Zealand,2 World Cups · Best: Group stage · 1st meeting vs Iran,6 WORLD CUPS · EYEING A BREAKTHROUGH,2 WORLD CUPS · OUT TO MAKE THEIR MARK,THE BIG STAGE AWAITS,WHO STEPS UP?,6,0,24,24,18,3,4,11,13,0.72,31,1.72,13,0.72,2,0,24,24,6,0,3,3,4,0.67,14,2.33,3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,SoFi Stadium,Los Angeles,SoFi Stadium,June 16 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,m017-france-vs-senegal,France,Senegal,Just Fontaine (13),Kylian Mbappé (12),Papa Bouba Diop (3),Henri Camara (2),Kylian Mbappé,Kylian Mbappé (12),,M'Baye Niang (1),16 World Cups · 2x Champions · 0-0-1 vs Senegal,3 World Cups · Best: Quarter-finalists · 1-0-0 vs France,2x CHAMPIONS · CHASING MORE GLORY,QUARTER-FINALS THEIR FINEST HOUR,MBAPPÉ — THE HEIR TO THE THRONE,WHO STEPS UP?,16,2,1,11.6,73,39,14,20,136,1.86,85,1.16,131,1.79,3,0,6.5,14.3,12,5,3,4,16,1.33,17,1.42,18,1.5,1,0,0,1,0,1,1,1,0,0,1,0,MetLife Stadium,New Jersey,MetLife Stadium,June 16 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,m018-iraq-vs-norway,Iraq,Norway,Ahmed Radhi (1),,Kjetil Rekdal (2),Arne Brustad (1),,Ahmed Radhi (1),Erling Haaland,Kjetil Rekdal (2),1 World Cups · Best: Group stage · 1st meeting vs Norway,3 World Cups · Best: Round of 16 · 1st meeting vs Iraq,ON THE GREATEST STAGE,ROUND OF 16 · OUT TO GO FURTHER,WHO STEPS UP?,HAALAND — THE GOAL MACHINE,1,0,24,24,3,0,0,3,1,0.33,4,1.33,0,0.0,3,0,12.5,16.3,8,2,3,3,7,0.88,8,1.0,9,1.12,0,0,0,0,0,0,0,0,0,0,0,0,Gillette Stadium,Foxborough,Gillette Stadium,June 16 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,m019-argentina-vs-algeria,Argentina,Algeria,Lionel Messi (13),Gabriel Batistuta (10),Salah Assad (2),Islam Slimani (2),Lionel Messi,Lionel Messi (13),,Salah Assad (2),18 World Cups · 3x Champions · 1st meeting vs Algeria,4 World Cups · Best: Round of 16 · 1st meeting vs Argentina,3x CHAMPIONS · CHASING MORE GLORY,ROUND OF 16 · OUT TO GO FURTHER,MESSI — THE LAST DANCE,OUT TO MAKE THEIR MARK,18,3,1,9.5,88,47,17,24,152,1.73,101,1.15,158,1.8,4,0,12.5,21.1,13,3,3,7,13,1.0,19,1.46,12,0.92,0,0,0,0,0,0,0,0,0,0,0,0,Arrowhead Stadium,Kansas City,Arrowhead Stadium,June 17 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,m020-austria-vs-jordan,Austria,Jordan,Erich Probst (6),Hans Krankl (5),,,,Erich Probst (6),,,7 World Cups · Best: Semi-finalists · 1st meeting vs Jordan,,SEMI-FINALISTS · THE NEARLY MEN,FIRST-EVER WORLD CUP,OUT TO MAKE THEIR MARK,EYES ON THE FINAL SQUAD,7,0,3.5,14.9,29,12,4,13,43,1.48,47,1.62,40,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Levi's Stadium,Santa Clara,Levi's Stadium,June 17 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,m021-portugal-vs-dr-congo,Portugal,DR Congo,Eusébio (9),Cristiano Ronaldo (8),,,Cristiano Ronaldo,Cristiano Ronaldo (8),,,8 World Cups · Best: Semi-finalists · 1st meeting vs DR Congo,1 World Cups · Best: Group stage · 1st meeting vs Portugal,SEMI-FINALISTS · THE NEARLY MEN,ON THE GREATEST STAGE,RONALDO — ONE LAST CROWN?,EYES ON THE FINAL SQUAD,8,0,3.5,13.8,35,17,6,12,61,1.74,41,1.17,57,1.63,1,0,24,24,3,0,0,3,0,0.0,14,4.67,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,NRG Stadium,Houston,NRG Stadium,June 17 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,m022-england-vs-croatia,England,Croatia,Gary Lineker (10),Harry Kane (8),Davor Šuker (6),Ivan Perišić (6),Harry Kane,Harry Kane (8),Luka Modrić,Ivan Perišić (6),16 World Cups · 1x Champions · 0-0-1 vs Croatia,6 World Cups · Best: Finalists · 1-0-0 vs England,1x CHAMPIONS · CHASING MORE GLORY,RUNNERS-UP ONCE · STILL CHASING THE CROWN,KANE HUNTS THE CROWN,MODRIĆ — ONE MORE MIRACLE?,16,1,1,10.2,74,32,22,20,104,1.41,68,0.92,118,1.59,6,0,2,13.5,30,13,8,9,43,1.43,33,1.1,47,1.57,1,0,0,1,1,2,1,1,0,0,2,1,AT&T Stadium,Arlington,AT&T Stadium,June 17 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
