match_no,slug,team_a,team_b,Top1_a,Top2_a,Top1_b,Top2_b,Star1_a,Star2_a,Star1_b,Star2_b,Comment_a,Comment_b,Headline_a,Headline_b,Hook_a,Hook_b,WCs_a,Won_a,High_a,Avg_a,GP_a,W_a,D_a,L_a,GF_a,GFpg_a,GA_a,GApg_a,P_a,PPG_a,WCs_b,Won_b,High_b,Avg_b,GP_b,W_b,D_b,L_b,GF_b,GFpg_b,GA_b,GApg_b,P_b,PPG_b,H2H_GP_a,H2H_W_a,H2H_D_a,H2H_L_a,H2H_GF_a,H2H_GA_a,H2H_GP_b,H2H_W_b,H2H_D_b,H2H_L_b,H2H_GF_b,H2H_GA_b,venue,city,stadium,datetime,Coach_a,P1num_a,P1name_a,P2num_a,P2name_a,P3num_a,P3name_a,P4num_a,P4name_a,P5num_a,P5name_a,P6num_a,P6name_a,P7num_a,P7name_a,P8num_a,P8name_a,P9num_a,P9name_a,P10num_a,P10name_a,P11num_a,P11name_a,Coach_b,P1num_b,P1name_b,P2num_b,P2name_b,P3num_b,P3name_b,P4num_b,P4name_b,P5num_b,P5name_b,P6num_b,P6name_b,P7num_b,P7name_b,P8num_b,P8name_b,P9num_b,P9name_b,P10num_b,P10name_b,P11num_b,P11name_b,Best1_a,Best2_a,Best1_b,Best2_b
48,m048-colombia-vs-dr-congo,Colombia,DR Congo,James Rodríguez (6),Yerry Mina (3),,,,Yerry Mina (3),,,6 World Cups · Best: Quarter-finalists · 1st meeting vs DR Congo,1 World Cups · Best: Group stage · 1st meeting vs Colombia,QUARTER-FINALS THEIR FINEST HOUR,ON THE GREATEST STAGE,READY FOR THE STAGE,EYES ON THE FINAL SQUAD,6,0,6.5,17.2,22,9,3,10,32,1.45,30,1.36,30,1.36,1,0,24,24,3,0,0,3,0,0.0,14,4.67,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Estadio Akron,Zapopan,Estadio Akron,June 24 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,m049-switzerland-vs-canada,Switzerland,Canada,Josef Hügi (6),Xherdan Shaqiri (5),Alphonso Davies (1),,,Xherdan Shaqiri (5),,Alphonso Davies (1),12 World Cups · Best: Quarter-finalists · 1st meeting vs Canada,2 World Cups · Best: Group stage · 1st meeting vs Switzerland,12 TRIES · NEVER PAST THE QUARTERS,2 WORLD CUPS · OUT TO MAKE THEIR MARK,ALL TO PLAY FOR,THE BIG STAGE AWAITS,12,0,6.5,14.8,40,13,8,19,51,1.27,71,1.77,47,1.18,2,0,24,24,6,0,0,6,2,0.33,12,2.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,BC Place,Vancouver,BC Place,June 24 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,m050-bosnia-herzegovina-vs-qatar,Bosnia & Herzegovina,Qatar,Sead Kolašinac (1),Vedad Ibišević (1),Mohammed Muntari (1),,,Sead Kolašinac (1),,Mohammed Muntari (1),1 World Cups · Best: Group stage · 1st meeting vs Qatar,1 World Cups · Best: Group stage · 1st meeting vs Bosnia & Herzegovina,ON THE GREATEST STAGE,ON THE GREATEST STAGE,EYES ON THE FINAL SQUAD,WHO STEPS UP?,1,0,24,24,3,1,0,2,4,1.33,4,1.33,3,1.0,1,0,24,24,3,0,0,3,1,0.33,7,2.33,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Lumen Field,Seattle,Lumen Field,June 24 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,m051-morocco-vs-haiti,Morocco,Haiti,Youssef En-Nesyri (3),Abderrazak Khairi (2),Emmanuel Sanon (2),,,Youssef En-Nesyri (3),,Emmanuel Sanon (2),6 World Cups · Best: Semi-finalists · 1st meeting vs Haiti,1 World Cups · Best: Group stage · 1st meeting vs Morocco,SEMI-FINALISTS · THE NEARLY MEN,ON THE GREATEST STAGE,READY FOR THE STAGE,OUT TO MAKE THEIR MARK,6,0,3.5,18.7,23,5,7,11,20,0.87,27,1.17,22,0.96,1,0,24,24,3,0,0,3,2,0.67,14,4.67,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Mercedes-Benz Stadium,Atlanta,Mercedes-Benz Stadium,June 24 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,m052-scotland-vs-brazil,Scotland,Brazil,Joe Jordan (4),Kenny Dalglish (2),Ronaldo (15),Pelé (12),,Joe Jordan (4),Vinicius Junior,Neymar (8),8 World Cups · Best: Group stage · 0-1-3 vs Brazil,22 World Cups · 5x Champions · 3-1-0 vs Scotland,8 TRIES · CHASING A FIRST KNOCKOUT,5-TIME WORLD CHAMPIONS,READY FOR THE STAGE,VINI JR. — THE NEW KING?,8,0,24,24,23,4,7,12,25,1.09,41,1.78,19,0.83,22,5,1,8.6,113,75,19,19,235,2.08,107,0.95,244,2.16,4,0,1,3,2,7,4,3,1,0,7,2,Hard Rock Stadium,Miami,Hard Rock Stadium,June 24 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,m053-south-africa-vs-south-korea,South Africa,South Korea,Benni McCarthy (2),Shaun Bartlett (2),Jung-hwan Ahn (3),Ji-sung Park (3),,Benni McCarthy (2),Heung-min Son,Heung-min Son (3),3 World Cups · Best: Group stage · 1st meeting vs South Korea,11 World Cups · Best: Semi-finalists · 1st meeting vs South Africa,3 WORLD CUPS · OUT TO MAKE THEIR MARK,SEMI-FINALISTS · THE NEARLY MEN,ALL TO PLAY FOR,SON CARRIES KOREA'S HOPES,3,0,24,24,9,2,4,3,11,1.22,16,1.78,10,1.11,11,0,3.5,20.0,38,7,10,21,39,1.03,78,2.05,31,0.82,0,0,0,0,0,0,0,0,0,0,0,0,Estadio BBVA,Guadalupe,Estadio BBVA,June 25 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,m054-czech-republic-vs-mexico,Czech Republic,Mexico,Tomáš Rosický (2),Jan Koller (1),Luis Hernández (4),Javier Hernández (4),,Tomáš Rosický (2),,Javier Hernández (4),1 World Cups · Best: Group stage · 1st meeting vs Mexico,17 World Cups · Best: Quarter-finalists · 1st meeting vs Czech Republic,ON THE GREATEST STAGE,17 TRIES · NEVER PAST THE QUARTERS,OUT TO MAKE THEIR MARK,WHO STEPS UP?,1,0,24,24,3,1,0,2,3,1.0,4,1.33,3,1.0,17,0,6.5,17.2,60,17,15,28,62,1.03,101,1.68,66,1.1,0,0,0,0,0,0,0,0,0,0,0,0,Estadio Azteca,Mexico City,Estadio Azteca,June 25 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,m055-curacao-vs-ivory-coast,Curacao,Ivory Coast,,,Didier Drogba (2),Aruna Dindane (2),,,,Didier Drogba (2),,3 World Cups · Best: Group stage · 1st meeting vs Curacao,FIRST-EVER WORLD CUP,3 WORLD CUPS · OUT TO MAKE THEIR MARK,EYES ON THE FINAL SQUAD,WHO STEPS UP?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,24,24,9,3,1,5,13,1.44,14,1.56,10,1.11,0,0,0,0,0,0,0,0,0,0,0,0,Lincoln Financial Field,Philadelphia,Lincoln Financial Field,June 25 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,m056-ecuador-vs-germany,Ecuador,Germany,Enner Valencia (6),Agustín Delgado (3),Miroslav Klose (16),Gerd Müller (14),,Enner Valencia (6),,Toni Kroos (3),4 World Cups · Best: Round of 16 · 0-0-1 vs Germany,20 World Cups · 4x Champions · 1-0-0 vs Ecuador,ROUND OF 16 · OUT TO GO FURTHER,4-TIME WORLD CHAMPIONS,ALL TO PLAY FOR,OUT TO MAKE THEIR MARK,4,0,12.5,21.1,13,5,2,6,14,1.08,14,1.08,17,1.31,20,4,1,6.1,111,68,21,22,230,2.07,126,1.14,225,2.03,1,0,0,1,0,3,1,1,0,0,3,0,MetLife Stadium,New Jersey,MetLife Stadium,June 25 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,m057-tunisia-vs-netherlands,Tunisia,Netherlands,Wahbi Khazri (3),Ali Kaabi (1),Johnny Rep (7),Rob Rensenbrink (6),,Wahbi Khazri (3),,Memphis Depay (3),6 World Cups · Best: Group stage · 1st meeting vs Netherlands,11 World Cups · Best: Finalists · 1st meeting vs Tunisia,6 WORLD CUPS · EYEING A BREAKTHROUGH,RUNNERS-UP ONCE · STILL CHASING THE CROWN,WHO STEPS UP?,THE BIG STAGE AWAITS,6,0,24,24,18,3,5,10,14,0.78,26,1.44,14,0.78,11,0,2,6.9,55,30,14,11,96,1.75,52,0.95,104,1.89,0,0,0,0,0,0,0,0,0,0,0,0,Arrowhead Stadium,Kansas City,Arrowhead Stadium,June 26 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,m058-japan-vs-sweden,Japan,Sweden,Keisuke Honda (4),Junichi Inamoto (2),Kennet Andersson (5),Henrik Larsson (5),,Keisuke Honda (4),,Andreas Granqvist (2),7 World Cups · Best: Round of 16 · 1st meeting vs Sweden,12 World Cups · Best: Finalists · 1st meeting vs Japan,ROUND OF 16 · OUT TO GO FURTHER,RUNNERS-UP ONCE · STILL CHASING THE CROWN,THE BIG STAGE AWAITS,READY FOR THE STAGE,7,0,12.5,17.4,25,7,6,12,25,1.0,33,1.32,27,1.08,12,0,2,13.0,51,19,13,19,80,1.57,73,1.43,70,1.37,0,0,0,0,0,0,0,0,0,0,0,0,AT&T Stadium,Arlington,AT&T Stadium,June 26 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,m059-turkey-vs-usa,Turkey,USA,Suat Mamat (3),Burhan Sargun (3),Landon Donovan (5),Bert Patenaude (4),Arda Güler,Suat Mamat (3),,Timothy Weah (1),2 World Cups · Best: Semi-finalists · 1st meeting vs USA,11 World Cups · Best: Semi-finalists · 1st meeting vs Turkey,SEMI-FINALISTS · THE NEARLY MEN,SEMI-FINALISTS · THE NEARLY MEN,CAN ARDA SHINE AGAIN?,ALL TO PLAY FOR,2,0,3.5,13.8,10,5,1,4,20,2.0,17,1.7,16,1.6,11,0,3.5,15.3,37,9,8,20,40,1.08,66,1.78,35,0.95,0,0,0,0,0,0,0,0,0,0,0,0,SoFi Stadium,Los Angeles,SoFi Stadium,June 26 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,m060-paraguay-vs-australia,Paraguay,Australia,Nelson Cuevas (3),Florencio Amarilla (2),Tim Cahill (5),Mile Jedinak (3),,Nelson Cuevas (3),,Mile Jedinak (3),8 World Cups · Best: Quarter-finalists · 1st meeting vs Australia,6 World Cups · Best: Round of 16 · 1st meeting vs Paraguay,QUARTER-FINALS THEIR FINEST HOUR,ROUND OF 16 · OUT TO GO FURTHER,THE BIG STAGE AWAITS,THE BIG STAGE AWAITS,8,0,6.5,17.5,27,7,10,10,30,1.11,38,1.41,31,1.15,6,0,12.5,20.2,20,4,4,12,17,0.85,37,1.85,16,0.8,0,0,0,0,0,0,0,0,0,0,0,0,Levi's Stadium,Santa Clara,Levi's Stadium,June 26 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,m061-norway-vs-france,Norway,France,Kjetil Rekdal (2),Arne Brustad (1),Just Fontaine (13),Kylian Mbappé (12),Erling Haaland,Kjetil Rekdal (2),Kylian Mbappé,Kylian Mbappé (12),3 World Cups · Best: Round of 16 · 1st meeting vs France,16 World Cups · 2x Champions · 1st meeting vs Norway,ROUND OF 16 · OUT TO GO FURTHER,2x CHAMPIONS · CHASING MORE GLORY,HAALAND — THE GOAL MACHINE,MBAPPÉ — THE HEIR TO THE THRONE,3,0,12.5,16.3,8,2,3,3,7,0.88,8,1.0,9,1.12,16,2,1,11.6,73,39,14,20,136,1.86,85,1.16,131,1.79,0,0,0,0,0,0,0,0,0,0,0,0,Gillette Stadium,Foxborough,Gillette Stadium,June 26 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,m062-senegal-vs-iraq,Senegal,Iraq,Papa Bouba Diop (3),Henri Camara (2),Ahmed Radhi (1),,,M'Baye Niang (1),,Ahmed Radhi (1),3 World Cups · Best: Quarter-finalists · 1st meeting vs Iraq,1 World Cups · Best: Group stage · 1st meeting vs Senegal,QUARTER-FINALS THEIR FINEST HOUR,ON THE GREATEST STAGE,WHO STEPS UP?,WHO STEPS UP?,3,0,6.5,14.3,12,5,3,4,16,1.33,17,1.42,18,1.5,1,0,24,24,3,0,0,3,1,0.33,4,1.33,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,BMO Field,Toronto,BMO Field,June 26 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,m063-cape-verde-vs-saudi-arabia,Cape Verde,Saudi Arabia,,,Sami Al-Jaber (3),Salem Al-Dawsari (3),,,,Salem Al-Dawsari (3),,6 World Cups · Best: Round of 16 · 1st meeting vs Cape Verde,FIRST-EVER WORLD CUP,ROUND OF 16 · OUT TO GO FURTHER,ALL TO PLAY FOR,EYES ON THE FINAL SQUAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12.5,22.1,19,4,2,13,14,0.74,44,2.32,14,0.74,0,0,0,0,0,0,0,0,0,0,0,0,NRG Stadium,Houston,NRG Stadium,June 27 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,m064-uruguay-vs-spain,Uruguay,Spain,Oscar Míguez (8),Luis Suárez (7),David Villa (9),Emilio Butragueño (5),,Luis Suárez (7),,Diego Costa (3),14 World Cups · 2x Champions · 0-2-0 vs Spain,16 World Cups · 1x Champions · 0-2-0 vs Uruguay,2x CHAMPIONS · CHASING MORE GLORY,1x CHAMPIONS · CHASING MORE GLORY,THE BIG STAGE AWAITS,OUT TO MAKE THEIR MARK,14,2,1,13.0,59,25,13,21,89,1.51,76,1.29,88,1.49,16,1,1,14.6,66,31,17,18,108,1.64,74,1.12,110,1.67,2,0,2,0,2,2,2,0,2,0,2,2,Estadio Akron,Zapopan,Estadio Akron,June 27 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,m065-new-zealand-vs-belgium,New Zealand,Belgium,Steve Sumner (1),Steve Wooddin (1),Marc Wilmots (5),Romelu Lukaku (5),,Steve Sumner (1),,Romelu Lukaku (5),2 World Cups · Best: Group stage · 1st meeting vs Belgium,14 World Cups · Best: Semi-finalists · 1st meeting vs New Zealand,2 WORLD CUPS · OUT TO MAKE THEIR MARK,SEMI-FINALISTS · THE NEARLY MEN,WHO STEPS UP?,WHO STEPS UP?,2,0,24,24,6,0,3,3,4,0.67,14,2.33,3,0.5,14,0,3.5,14.9,51,21,10,20,69,1.35,74,1.45,73,1.43,0,0,0,0,0,0,0,0,0,0,0,0,BC Place,Vancouver,BC Place,June 27 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,m066-egypt-vs-iran,Egypt,Iran,Abdulrahman Fawzi (2),Mohamed Salah (2),Mehdi Taremi (2),Andranik Eskandarian (1),Mohamed Salah,Mohamed Salah (2),,Mehdi Taremi (2),3 World Cups · Best: Round of 16 · 1st meeting vs Iran,6 World Cups · Best: Group stage · 1st meeting vs Egypt,ROUND OF 16 · OUT TO GO FURTHER,6 WORLD CUPS · EYEING A BREAKTHROUGH,SALAH — THE PHARAOH RETURNS,THE BIG STAGE AWAITS,3,0,12.5,20.2,7,0,2,5,5,0.71,12,1.71,2,0.29,6,0,24,24,18,3,4,11,13,0.72,31,1.72,13,0.72,0,0,0,0,0,0,0,0,0,0,0,0,Lumen Field,Seattle,Lumen Field,June 27 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,m067-panama-vs-england,Panama,England,Felipe Baloy (1),,Gary Lineker (10),Harry Kane (8),,Felipe Baloy (1),Harry Kane,Harry Kane (8),1 World Cups · Best: Group stage · 0-0-1 vs England,16 World Cups · 1x Champions · 1-0-0 vs Panama,ON THE GREATEST STAGE,1x CHAMPIONS · CHASING MORE GLORY,READY FOR THE STAGE,KANE HUNTS THE CROWN,1,0,24,24,3,0,0,3,2,0.67,11,3.67,0,0.0,16,1,1,10.2,74,32,22,20,104,1.41,68,0.92,118,1.59,1,0,0,1,1,6,1,1,0,0,6,1,MetLife Stadium,New Jersey,MetLife Stadium,June 27 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,m068-croatia-vs-ghana,Croatia,Ghana,Davor Šuker (6),Ivan Perišić (6),Asamoah Gyan (6),André Ayew (3),Luka Modrić,Ivan Perišić (6),,André Ayew (3),6 World Cups · Best: Finalists · 1st meeting vs Ghana,4 World Cups · Best: Quarter-finalists · 1st meeting vs Croatia,RUNNERS-UP ONCE · STILL CHASING THE CROWN,QUARTER-FINALS THEIR FINEST HOUR,MODRIĆ — ONE MORE MIRACLE?,ALL TO PLAY FOR,6,0,2,13.5,30,13,8,9,43,1.43,33,1.1,47,1.57,4,0,6.5,16.8,15,5,3,7,18,1.2,23,1.53,18,1.2,0,0,0,0,0,0,0,0,0,0,0,0,Lincoln Financial Field,Philadelphia,Lincoln Financial Field,June 27 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,m069-colombia-vs-portugal,Colombia,Portugal,James Rodríguez (6),Yerry Mina (3),Eusébio (9),Cristiano Ronaldo (8),,Yerry Mina (3),Cristiano Ronaldo,Cristiano Ronaldo (8),6 World Cups · Best: Quarter-finalists · 1st meeting vs Portugal,8 World Cups · Best: Semi-finalists · 1st meeting vs Colombia,QUARTER-FINALS THEIR FINEST HOUR,SEMI-FINALISTS · THE NEARLY MEN,READY FOR THE STAGE,RONALDO — ONE LAST CROWN?,6,0,6.5,17.2,22,9,3,10,32,1.45,30,1.36,30,1.36,8,0,3.5,13.8,35,17,6,12,61,1.74,41,1.17,57,1.63,0,0,0,0,0,0,0,0,0,0,0,0,Hard Rock Stadium,Miami,Hard Rock Stadium,June 28 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,m070-dr-congo-vs-uzbekistan,DR Congo,Uzbekistan,,,,,,,,,1 World Cups · Best: Group stage · 1st meeting vs Uzbekistan,,ON THE GREATEST STAGE,FIRST-EVER WORLD CUP,EYES ON THE FINAL SQUAD,EYES ON THE FINAL SQUAD,1,0,24,24,3,0,0,3,0,0.0,14,4.67,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mercedes-Benz Stadium,Atlanta,Mercedes-Benz Stadium,June 28 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,m071-algeria-vs-austria,Algeria,Austria,Salah Assad (2),Islam Slimani (2),Erich Probst (6),Hans Krankl (5),,Salah Assad (2),,Erich Probst (6),4 World Cups · Best: Round of 16 · 0-0-1 vs Austria,7 World Cups · Best: Semi-finalists · 1-0-0 vs Algeria,ROUND OF 16 · OUT TO GO FURTHER,SEMI-FINALISTS · THE NEARLY MEN,OUT TO MAKE THEIR MARK,OUT TO MAKE THEIR MARK,4,0,12.5,21.1,13,3,3,7,13,1.0,19,1.46,12,0.92,7,0,3.5,14.9,29,12,4,13,43,1.48,47,1.62,40,1.38,1,0,0,1,0,2,1,1,0,0,2,0,Arrowhead Stadium,Kansas City,Arrowhead Stadium,June 28 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,m072-jordan-vs-argentina,Jordan,Argentina,,,Lionel Messi (13),Gabriel Batistuta (10),,,Lionel Messi,Lionel Messi (13),,18 World Cups · 3x Champions · 1st meeting vs Jordan,FIRST-EVER WORLD CUP,3x CHAMPIONS · CHASING MORE GLORY,EYES ON THE FINAL SQUAD,MESSI — THE LAST DANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,1,9.5,88,47,17,24,152,1.73,101,1.15,158,1.8,0,0,0,0,0,0,0,0,0,0,0,0,AT&T Stadium,Arlington,AT&T Stadium,June 28 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
