match,slug,TEAM A,TEAM B,S0_stadium,S0_datetime,S1_WorldCups,S1_Won,S1_Best(Avg),S1_Played,S1_W,S1_D,S1_L,S1_GoalsFor(pg),S1_GoalsAgainst(pg),S1_Points(PPG),S2_H2H_W,S2_H2H_D,S2_H2H_L,S2_H2H_GF,S2_H2H_GA,S3_AllTime_A,S3_AllTime_B,S3_Watch_A,S3_Watch_B,S4_Headline_A,S4_Hook_A,S4_Headline_B,S4_Hook_B,S5_Coach_A,S5_XI_A,S5_Coach_B,S5_XI_B
36,m036-tunisia-vs-japan,Tunisia,Japan,Estadio BBVA,June 21 2026,6 | 7,0 | 0,24(24) | 12.5(17.4),18 | 25,3 | 7,5 | 6,10 | 12,14(0.78) | 25(1.0),26(1.44) | 33(1.32),14(0.78) | 27(1.08),0 | 1,0 | 0,1 | 0,0 | 2,2 | 0,"Wahbi Khazri (3), Ali Kaabi (1)","Keisuke Honda (4), Junichi Inamoto (2)",", Wahbi Khazri (3)",", Keisuke Honda (4)",6 WORLD CUPS · EYEING A BREAKTHROUGH,WHO STEPS UP?,ROUND OF 16 · OUT TO GO FURTHER,THE BIG STAGE AWAITS,,,,
37,m037-spain-vs-saudi-arabia,Spain,Saudi Arabia,Mercedes-Benz Stadium,June 21 2026,16 | 6,1 | 0,1(14.6) | 12.5(22.1),66 | 19,31 | 4,17 | 2,18 | 13,108(1.64) | 14(0.74),74(1.12) | 44(2.32),110(1.67) | 14(0.74),1 | 0,0 | 0,0 | 1,1 | 0,0 | 1,"David Villa (9), Emilio Butragueño (5)","Sami Al-Jaber (3), Salem Al-Dawsari (3)",", Diego Costa (3)",", Salem Al-Dawsari (3)",1x CHAMPIONS · CHASING MORE GLORY,OUT TO MAKE THEIR MARK,ROUND OF 16 · OUT TO GO FURTHER,EYES ON THE FINAL SQUAD,,,,
38,m038-belgium-vs-iran,Belgium,Iran,SoFi Stadium,June 21 2026,14 | 6,0 | 0,3.5(14.9) | 24(24),51 | 18,21 | 3,10 | 4,20 | 11,69(1.35) | 13(0.72),74(1.45) | 31(1.72),73(1.43) | 13(0.72),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Marc Wilmots (5), Romelu Lukaku (5)","Mehdi Taremi (2), Andranik Eskandarian (1)",", Romelu Lukaku (5)",", Mehdi Taremi (2)",SEMI-FINALISTS · THE NEARLY MEN,WHO STEPS UP?,6 WORLD CUPS · EYEING A BREAKTHROUGH,THE BIG STAGE AWAITS,,,,
39,m039-uruguay-vs-cape-verde,Uruguay,Cape Verde,Hard Rock Stadium,June 21 2026,14 | 0,2 | 0,1(13.0) | 0(0),59 | 0,25 | 0,13 | 0,21 | 0,89(1.51) | 0(0),76(1.29) | 0(0),88(1.49) | 0(0),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Oscar Míguez (8), Luis Suárez (7)",", ",", Luis Suárez (7)",", ",2x CHAMPIONS · CHASING MORE GLORY,THE BIG STAGE AWAITS,FIRST-EVER WORLD CUP,ALL TO PLAY FOR,,,,
40,m040-new-zealand-vs-egypt,New Zealand,Egypt,BC Place,June 22 2026,2 | 3,0 | 0,24(24) | 12.5(20.2),6 | 7,0 | 0,3 | 2,3 | 5,4(0.67) | 5(0.71),14(2.33) | 12(1.71),3(0.5) | 2(0.29),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Steve Sumner (1), Steve Wooddin (1)","Abdulrahman Fawzi (2), Mohamed Salah (2)",", Steve Sumner (1)","Mohamed Salah, Mohamed Salah (2)",2 WORLD CUPS · OUT TO MAKE THEIR MARK,WHO STEPS UP?,ROUND OF 16 · OUT TO GO FURTHER,SALAH — THE PHARAOH RETURNS,,,,
41,m041-argentina-vs-austria,Argentina,Austria,AT&T Stadium,June 22 2026,18 | 7,3 | 0,1(9.5) | 3.5(14.9),88 | 29,47 | 12,17 | 4,24 | 13,152(1.73) | 43(1.48),101(1.15) | 47(1.62),158(1.8) | 40(1.38),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Lionel Messi (13), Gabriel Batistuta (10)","Erich Probst (6), Hans Krankl (5)","Lionel Messi, Lionel Messi (13)",", Erich Probst (6)",3x CHAMPIONS · CHASING MORE GLORY,MESSI — THE LAST DANCE,SEMI-FINALISTS · THE NEARLY MEN,OUT TO MAKE THEIR MARK,,,,
42,m042-france-vs-iraq,France,Iraq,Lincoln Financial Field,June 22 2026,16 | 1,2 | 0,1(11.6) | 24(24),73 | 3,39 | 0,14 | 0,20 | 3,136(1.86) | 1(0.33),85(1.16) | 4(1.33),131(1.79) | 0(0.0),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Just Fontaine (13), Kylian Mbappé (12)","Ahmed Radhi (1), ","Kylian Mbappé, Kylian Mbappé (12)",", Ahmed Radhi (1)",2x CHAMPIONS · CHASING MORE GLORY,MBAPPÉ — THE HEIR TO THE THRONE,ON THE GREATEST STAGE,WHO STEPS UP?,,,,
43,m043-norway-vs-senegal,Norway,Senegal,BMO Field,June 23 2026,3 | 3,0 | 0,12.5(16.3) | 6.5(14.3),8 | 12,2 | 5,3 | 3,3 | 4,7(0.88) | 16(1.33),8(1.0) | 17(1.42),9(1.12) | 18(1.5),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Kjetil Rekdal (2), Arne Brustad (1)","Papa Bouba Diop (3), Henri Camara (2)","Erling Haaland, Kjetil Rekdal (2)",", M'Baye Niang (1)",ROUND OF 16 · OUT TO GO FURTHER,HAALAND — THE GOAL MACHINE,QUARTER-FINALS THEIR FINEST HOUR,WHO STEPS UP?,,,,
44,m044-jordan-vs-algeria,Jordan,Algeria,Levi's Stadium,June 23 2026,0 | 4,0 | 0,0(0) | 12.5(21.1),0 | 13,0 | 3,0 | 3,0 | 7,0(0) | 13(1.0),0(0) | 19(1.46),0(0) | 12(0.92),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,", ","Salah Assad (2), Islam Slimani (2)",", ",", Salah Assad (2)",FIRST-EVER WORLD CUP,EYES ON THE FINAL SQUAD,ROUND OF 16 · OUT TO GO FURTHER,OUT TO MAKE THEIR MARK,,,,
45,m045-portugal-vs-uzbekistan,Portugal,Uzbekistan,NRG Stadium,June 23 2026,8 | 0,0 | 0,3.5(13.8) | 0(0),35 | 0,17 | 0,6 | 0,12 | 0,61(1.74) | 0(0),41(1.17) | 0(0),57(1.63) | 0(0),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Eusébio (9), Cristiano Ronaldo (8)",", ","Cristiano Ronaldo, Cristiano Ronaldo (8)",", ",SEMI-FINALISTS · THE NEARLY MEN,RONALDO — ONE LAST CROWN?,FIRST-EVER WORLD CUP,EYES ON THE FINAL SQUAD,,,,
46,m046-england-vs-ghana,England,Ghana,Gillette Stadium,June 23 2026,16 | 4,1 | 0,1(10.2) | 6.5(16.8),74 | 15,32 | 5,22 | 3,20 | 7,104(1.41) | 18(1.2),68(0.92) | 23(1.53),118(1.59) | 18(1.2),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Gary Lineker (10), Harry Kane (8)","Asamoah Gyan (6), André Ayew (3)","Harry Kane, Harry Kane (8)",", André Ayew (3)",1x CHAMPIONS · CHASING MORE GLORY,KANE HUNTS THE CROWN,QUARTER-FINALS THEIR FINEST HOUR,ALL TO PLAY FOR,,,,
47,m047-panama-vs-croatia,Panama,Croatia,Gillette Stadium,June 24 2026,1 | 6,0 | 0,24(24) | 2(13.5),3 | 30,0 | 13,0 | 8,3 | 9,2(0.67) | 43(1.43),11(3.67) | 33(1.1),0(0.0) | 47(1.57),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Felipe Baloy (1), ","Davor Šuker (6), Ivan Perišić (6)",", Felipe Baloy (1)","Luka Modrić, Ivan Perišić (6)",ON THE GREATEST STAGE,READY FOR THE STAGE,RUNNERS-UP ONCE · STILL CHASING THE CROWN,MODRIĆ — ONE MORE MIRACLE?,,,,
48,m048-colombia-vs-dr-congo,Colombia,DR Congo,Estadio Akron,June 24 2026,6 | 1,0 | 0,6.5(17.2) | 24(24),22 | 3,9 | 0,3 | 0,10 | 3,32(1.45) | 0(0.0),30(1.36) | 14(4.67),30(1.36) | 0(0.0),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"James Rodríguez (6), Yerry Mina (3)",", ",", Yerry Mina (3)",", ",QUARTER-FINALS THEIR FINEST HOUR,READY FOR THE STAGE,ON THE GREATEST STAGE,EYES ON THE FINAL SQUAD,,,,
49,m049-switzerland-vs-canada,Switzerland,Canada,BC Place,June 24 2026,12 | 2,0 | 0,6.5(14.8) | 24(24),40 | 6,13 | 0,8 | 0,19 | 6,51(1.27) | 2(0.33),71(1.77) | 12(2.0),47(1.18) | 0(0.0),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Josef Hügi (6), Xherdan Shaqiri (5)","Alphonso Davies (1), ",", Xherdan Shaqiri (5)",", Alphonso Davies (1)",12 TRIES · NEVER PAST THE QUARTERS,ALL TO PLAY FOR,2 WORLD CUPS · OUT TO MAKE THEIR MARK,THE BIG STAGE AWAITS,,,,
50,m050-bosnia-herzegovina-vs-qatar,Bosnia & Herzegovina,Qatar,Lumen Field,June 24 2026,1 | 1,0 | 0,24(24) | 24(24),3 | 3,1 | 0,0 | 0,2 | 3,4(1.33) | 1(0.33),4(1.33) | 7(2.33),3(1.0) | 0(0.0),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Sead Kolašinac (1), Vedad Ibišević (1)","Mohammed Muntari (1), ",", Sead Kolašinac (1)",", Mohammed Muntari (1)",ON THE GREATEST STAGE,EYES ON THE FINAL SQUAD,ON THE GREATEST STAGE,WHO STEPS UP?,,,,
51,m051-morocco-vs-haiti,Morocco,Haiti,Mercedes-Benz Stadium,June 24 2026,6 | 1,0 | 0,3.5(18.7) | 24(24),23 | 3,5 | 0,7 | 0,11 | 3,20(0.87) | 2(0.67),27(1.17) | 14(4.67),22(0.96) | 0(0.0),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Youssef En-Nesyri (3), Abderrazak Khairi (2)","Emmanuel Sanon (2), ",", Youssef En-Nesyri (3)",", Emmanuel Sanon (2)",SEMI-FINALISTS · THE NEARLY MEN,READY FOR THE STAGE,ON THE GREATEST STAGE,OUT TO MAKE THEIR MARK,,,,
52,m052-scotland-vs-brazil,Scotland,Brazil,Hard Rock Stadium,June 24 2026,8 | 22,0 | 5,24(24) | 1(8.6),23 | 113,4 | 75,7 | 19,12 | 19,25(1.09) | 235(2.08),41(1.78) | 107(0.95),19(0.83) | 244(2.16),0 | 3,1 | 1,3 | 0,2 | 7,7 | 2,"Joe Jordan (4), Kenny Dalglish (2)","Ronaldo (15), Pelé (12)",", Joe Jordan (4)","Vinicius Junior, Neymar (8)",8 TRIES · CHASING A FIRST KNOCKOUT,READY FOR THE STAGE,5-TIME WORLD CHAMPIONS,VINI JR. — THE NEW KING?,,,,
53,m053-south-africa-vs-south-korea,South Africa,South Korea,Estadio BBVA,June 25 2026,3 | 11,0 | 0,24(24) | 3.5(20.0),9 | 38,2 | 7,4 | 10,3 | 21,11(1.22) | 39(1.03),16(1.78) | 78(2.05),10(1.11) | 31(0.82),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Benni McCarthy (2), Shaun Bartlett (2)","Jung-hwan Ahn (3), Ji-sung Park (3)",", Benni McCarthy (2)","Heung-min Son, Heung-min Son (3)",3 WORLD CUPS · OUT TO MAKE THEIR MARK,ALL TO PLAY FOR,SEMI-FINALISTS · THE NEARLY MEN,SON CARRIES KOREA'S HOPES,,,,
54,m054-czech-republic-vs-mexico,Czech Republic,Mexico,Estadio Azteca,June 25 2026,1 | 17,0 | 0,24(24) | 6.5(17.2),3 | 60,1 | 17,0 | 15,2 | 28,3(1.0) | 62(1.03),4(1.33) | 101(1.68),3(1.0) | 66(1.1),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Tomáš Rosický (2), Jan Koller (1)","Luis Hernández (4), Javier Hernández (4)",", Tomáš Rosický (2)",", Javier Hernández (4)",ON THE GREATEST STAGE,OUT TO MAKE THEIR MARK,17 TRIES · NEVER PAST THE QUARTERS,WHO STEPS UP?,,,,
55,m055-curacao-vs-ivory-coast,Curacao,Ivory Coast,Lincoln Financial Field,June 25 2026,0 | 3,0 | 0,0(0) | 24(24),0 | 9,0 | 3,0 | 1,0 | 5,0(0) | 13(1.44),0(0) | 14(1.56),0(0) | 10(1.11),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,", ","Didier Drogba (2), Aruna Dindane (2)",", ",", Didier Drogba (2)",FIRST-EVER WORLD CUP,EYES ON THE FINAL SQUAD,3 WORLD CUPS · OUT TO MAKE THEIR MARK,WHO STEPS UP?,,,,
56,m056-ecuador-vs-germany,Ecuador,Germany,MetLife Stadium,June 25 2026,4 | 20,0 | 4,12.5(21.1) | 1(6.1),13 | 111,5 | 68,2 | 21,6 | 22,14(1.08) | 230(2.07),14(1.08) | 126(1.14),17(1.31) | 225(2.03),0 | 1,0 | 0,1 | 0,0 | 3,3 | 0,"Enner Valencia (6), Agustín Delgado (3)","Miroslav Klose (16), Gerd Müller (14)",", Enner Valencia (6)",", Toni Kroos (3)",ROUND OF 16 · OUT TO GO FURTHER,ALL TO PLAY FOR,4-TIME WORLD CHAMPIONS,OUT TO MAKE THEIR MARK,,,,
57,m057-tunisia-vs-netherlands,Tunisia,Netherlands,Arrowhead Stadium,June 26 2026,6 | 11,0 | 0,24(24) | 2(6.9),18 | 55,3 | 30,5 | 14,10 | 11,14(0.78) | 96(1.75),26(1.44) | 52(0.95),14(0.78) | 104(1.89),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Wahbi Khazri (3), Ali Kaabi (1)","Johnny Rep (7), Rob Rensenbrink (6)",", Wahbi Khazri (3)",", Memphis Depay (3)",6 WORLD CUPS · EYEING A BREAKTHROUGH,WHO STEPS UP?,RUNNERS-UP ONCE · STILL CHASING THE CROWN,THE BIG STAGE AWAITS,,,,
58,m058-japan-vs-sweden,Japan,Sweden,AT&T Stadium,June 26 2026,7 | 12,0 | 0,12.5(17.4) | 2(13.0),25 | 51,7 | 19,6 | 13,12 | 19,25(1.0) | 80(1.57),33(1.32) | 73(1.43),27(1.08) | 70(1.37),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Keisuke Honda (4), Junichi Inamoto (2)","Kennet Andersson (5), Henrik Larsson (5)",", Keisuke Honda (4)",", Andreas Granqvist (2)",ROUND OF 16 · OUT TO GO FURTHER,THE BIG STAGE AWAITS,RUNNERS-UP ONCE · STILL CHASING THE CROWN,READY FOR THE STAGE,,,,
59,m059-turkey-vs-usa,Turkey,USA,SoFi Stadium,June 26 2026,2 | 11,0 | 0,3.5(13.8) | 3.5(15.3),10 | 37,5 | 9,1 | 8,4 | 20,20(2.0) | 40(1.08),17(1.7) | 66(1.78),16(1.6) | 35(0.95),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Suat Mamat (3), Burhan Sargun (3)","Landon Donovan (5), Bert Patenaude (4)","Arda Güler, Suat Mamat (3)",", Timothy Weah (1)",SEMI-FINALISTS · THE NEARLY MEN,CAN ARDA SHINE AGAIN?,SEMI-FINALISTS · THE NEARLY MEN,ALL TO PLAY FOR,,,,
60,m060-paraguay-vs-australia,Paraguay,Australia,Levi's Stadium,June 26 2026,8 | 6,0 | 0,6.5(17.5) | 12.5(20.2),27 | 20,7 | 4,10 | 4,10 | 12,30(1.11) | 17(0.85),38(1.41) | 37(1.85),31(1.15) | 16(0.8),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Nelson Cuevas (3), Florencio Amarilla (2)","Tim Cahill (5), Mile Jedinak (3)",", Nelson Cuevas (3)",", Mile Jedinak (3)",QUARTER-FINALS THEIR FINEST HOUR,THE BIG STAGE AWAITS,ROUND OF 16 · OUT TO GO FURTHER,THE BIG STAGE AWAITS,,,,
61,m061-norway-vs-france,Norway,France,Gillette Stadium,June 26 2026,3 | 16,0 | 2,12.5(16.3) | 1(11.6),8 | 73,2 | 39,3 | 14,3 | 20,7(0.88) | 136(1.86),8(1.0) | 85(1.16),9(1.12) | 131(1.79),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Kjetil Rekdal (2), Arne Brustad (1)","Just Fontaine (13), Kylian Mbappé (12)","Erling Haaland, Kjetil Rekdal (2)","Kylian Mbappé, Kylian Mbappé (12)",ROUND OF 16 · OUT TO GO FURTHER,HAALAND — THE GOAL MACHINE,2x CHAMPIONS · CHASING MORE GLORY,MBAPPÉ — THE HEIR TO THE THRONE,,,,
62,m062-senegal-vs-iraq,Senegal,Iraq,BMO Field,June 26 2026,3 | 1,0 | 0,6.5(14.3) | 24(24),12 | 3,5 | 0,3 | 0,4 | 3,16(1.33) | 1(0.33),17(1.42) | 4(1.33),18(1.5) | 0(0.0),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Papa Bouba Diop (3), Henri Camara (2)","Ahmed Radhi (1), ",", M'Baye Niang (1)",", Ahmed Radhi (1)",QUARTER-FINALS THEIR FINEST HOUR,WHO STEPS UP?,ON THE GREATEST STAGE,WHO STEPS UP?,,,,
63,m063-cape-verde-vs-saudi-arabia,Cape Verde,Saudi Arabia,NRG Stadium,June 27 2026,0 | 6,0 | 0,0(0) | 12.5(22.1),0 | 19,0 | 4,0 | 2,0 | 13,0(0) | 14(0.74),0(0) | 44(2.32),0(0) | 14(0.74),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,", ","Sami Al-Jaber (3), Salem Al-Dawsari (3)",", ",", Salem Al-Dawsari (3)",FIRST-EVER WORLD CUP,ALL TO PLAY FOR,ROUND OF 16 · OUT TO GO FURTHER,EYES ON THE FINAL SQUAD,,,,
64,m064-uruguay-vs-spain,Uruguay,Spain,Estadio Akron,June 27 2026,14 | 16,2 | 1,1(13.0) | 1(14.6),59 | 66,25 | 31,13 | 17,21 | 18,89(1.51) | 108(1.64),76(1.29) | 74(1.12),88(1.49) | 110(1.67),0 | 0,2 | 2,0 | 0,2 | 2,2 | 2,"Oscar Míguez (8), Luis Suárez (7)","David Villa (9), Emilio Butragueño (5)",", Luis Suárez (7)",", Diego Costa (3)",2x CHAMPIONS · CHASING MORE GLORY,THE BIG STAGE AWAITS,1x CHAMPIONS · CHASING MORE GLORY,OUT TO MAKE THEIR MARK,,,,
65,m065-new-zealand-vs-belgium,New Zealand,Belgium,BC Place,June 27 2026,2 | 14,0 | 0,24(24) | 3.5(14.9),6 | 51,0 | 21,3 | 10,3 | 20,4(0.67) | 69(1.35),14(2.33) | 74(1.45),3(0.5) | 73(1.43),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Steve Sumner (1), Steve Wooddin (1)","Marc Wilmots (5), Romelu Lukaku (5)",", Steve Sumner (1)",", Romelu Lukaku (5)",2 WORLD CUPS · OUT TO MAKE THEIR MARK,WHO STEPS UP?,SEMI-FINALISTS · THE NEARLY MEN,WHO STEPS UP?,,,,
66,m066-egypt-vs-iran,Egypt,Iran,Lumen Field,June 27 2026,3 | 6,0 | 0,12.5(20.2) | 24(24),7 | 18,0 | 3,2 | 4,5 | 11,5(0.71) | 13(0.72),12(1.71) | 31(1.72),2(0.29) | 13(0.72),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Abdulrahman Fawzi (2), Mohamed Salah (2)","Mehdi Taremi (2), Andranik Eskandarian (1)","Mohamed Salah, Mohamed Salah (2)",", Mehdi Taremi (2)",ROUND OF 16 · OUT TO GO FURTHER,SALAH — THE PHARAOH RETURNS,6 WORLD CUPS · EYEING A BREAKTHROUGH,THE BIG STAGE AWAITS,,,,
67,m067-panama-vs-england,Panama,England,MetLife Stadium,June 27 2026,1 | 16,0 | 1,24(24) | 1(10.2),3 | 74,0 | 32,0 | 22,3 | 20,2(0.67) | 104(1.41),11(3.67) | 68(0.92),0(0.0) | 118(1.59),0 | 1,0 | 0,1 | 0,1 | 6,6 | 1,"Felipe Baloy (1), ","Gary Lineker (10), Harry Kane (8)",", Felipe Baloy (1)","Harry Kane, Harry Kane (8)",ON THE GREATEST STAGE,READY FOR THE STAGE,1x CHAMPIONS · CHASING MORE GLORY,KANE HUNTS THE CROWN,,,,
68,m068-croatia-vs-ghana,Croatia,Ghana,Lincoln Financial Field,June 27 2026,6 | 4,0 | 0,2(13.5) | 6.5(16.8),30 | 15,13 | 5,8 | 3,9 | 7,43(1.43) | 18(1.2),33(1.1) | 23(1.53),47(1.57) | 18(1.2),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Davor Šuker (6), Ivan Perišić (6)","Asamoah Gyan (6), André Ayew (3)","Luka Modrić, Ivan Perišić (6)",", André Ayew (3)",RUNNERS-UP ONCE · STILL CHASING THE CROWN,MODRIĆ — ONE MORE MIRACLE?,QUARTER-FINALS THEIR FINEST HOUR,ALL TO PLAY FOR,,,,
69,m069-colombia-vs-portugal,Colombia,Portugal,Hard Rock Stadium,June 28 2026,6 | 8,0 | 0,6.5(17.2) | 3.5(13.8),22 | 35,9 | 17,3 | 6,10 | 12,32(1.45) | 61(1.74),30(1.36) | 41(1.17),30(1.36) | 57(1.63),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"James Rodríguez (6), Yerry Mina (3)","Eusébio (9), Cristiano Ronaldo (8)",", Yerry Mina (3)","Cristiano Ronaldo, Cristiano Ronaldo (8)",QUARTER-FINALS THEIR FINEST HOUR,READY FOR THE STAGE,SEMI-FINALISTS · THE NEARLY MEN,RONALDO — ONE LAST CROWN?,,,,
70,m070-dr-congo-vs-uzbekistan,DR Congo,Uzbekistan,Mercedes-Benz Stadium,June 28 2026,1 | 0,0 | 0,24(24) | 0(0),3 | 0,0 | 0,0 | 0,3 | 0,0(0.0) | 0(0),14(4.67) | 0(0),0(0.0) | 0(0),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,", ",", ",", ",", ",ON THE GREATEST STAGE,EYES ON THE FINAL SQUAD,FIRST-EVER WORLD CUP,EYES ON THE FINAL SQUAD,,,,
71,m071-algeria-vs-austria,Algeria,Austria,Arrowhead Stadium,June 28 2026,4 | 7,0 | 0,12.5(21.1) | 3.5(14.9),13 | 29,3 | 12,3 | 4,7 | 13,13(1.0) | 43(1.48),19(1.46) | 47(1.62),12(0.92) | 40(1.38),0 | 1,0 | 0,1 | 0,0 | 2,2 | 0,"Salah Assad (2), Islam Slimani (2)","Erich Probst (6), Hans Krankl (5)",", Salah Assad (2)",", Erich Probst (6)",ROUND OF 16 · OUT TO GO FURTHER,OUT TO MAKE THEIR MARK,SEMI-FINALISTS · THE NEARLY MEN,OUT TO MAKE THEIR MARK,,,,
72,m072-jordan-vs-argentina,Jordan,Argentina,AT&T Stadium,June 28 2026,0 | 18,0 | 3,0(0) | 1(9.5),0 | 88,0 | 47,0 | 17,0 | 24,0(0) | 152(1.73),0(0) | 101(1.15),0(0) | 158(1.8),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,", ","Lionel Messi (13), Gabriel Batistuta (10)",", ","Lionel Messi, Lionel Messi (13)",FIRST-EVER WORLD CUP,EYES ON THE FINAL SQUAD,3x CHAMPIONS · CHASING MORE GLORY,MESSI — THE LAST DANCE,,,,
